song_id,name,artist_name,album,duration_ms,track_number,artist_follower,album_popularity,artist_popularity,release_date,genres,days_diff,popularity
2jaapqz7L9MpMf7vpkqU9I,Smoothie,NCT DREAM,DREAM( )SCAPE,188080,2,7604621,70,74,2024-03-25,['k-pop boy group'],8.0,68
11sirgYaEutV40tkvgpHN6,NEURON (with Gaeko & YOON MIRAE),j-hope,HOPE ON THE STREET VOL.1,273290,6,17174554,74,72,2024-03-29,"['k-pop', 'k-rap']",4.0,73
4lR8sYGMGZPvthF2yUfo7T,Smart,LE SSERAFIM,EASY,166384,4,4785169,87,82,2024-02-19,['k-pop girl group'],43.0,87
0PBTlQ84CBJF0tBnKGmQa6,FRI(END)S,V,FRI(END)S,148082,1,17572291,87,83,2024-03-15,"['j-division', 'korean ost']",18.0,91
55W3ONBbW98Cqvk0ZIoaKR,Emptiness,BoA,Emptiness,186866,1,816479,48,54,2024-03-26,['k-pop'],7.0,54
0y0uzuB1HxljAY2j0tLETp,Fancy - Spotify Singles,STAYC,Fancy - Spotify Singles,193277,1,1781206,60,63,2024-03-15,"['k-pop', 'k-pop girl group']",18.0,67
2vNPGH1x5ZwxTjlvzLCyc2,Fate,(G)I-DLE,2,161546,6,8777390,79,77,2024-01-29,['k-pop girl group'],64.0,73
2O4Bb2WCkjlTPO827OnBMI,EASY,LE SSERAFIM,EASY,164545,2,4785169,87,82,2024-02-19,['k-pop girl group'],43.0,88
6MEtGumgTXWquxH35osvEC,Nectar,THE BOYZ,THE BOYZ 2ND ALBUM [PHANTASY] Pt.3 Love Letter,184373,1,2844138,60,60,2024-03-18,"['k-pop', 'k-pop boy group']",15.0,64
6je5cTal6PyeITNrOzkCoS,Welcome to the Show,DAY6,Fourever,217067,1,3192322,67,66,2024-03-18,"['k-pop', 'k-pop boy group']",15.0,65
2t3F6nsQqEw60KT8ma8dm4,Rooftop,YooA,Borderline,168653,1,128098,56,48,2024-03-14,['k-pop'],19.0,61
3ajU531gR5fW71wqsw4tFX,i wonder... (with Jung Kook of BTS),j-hope,HOPE ON THE STREET VOL.1,163598,2,17174554,74,72,2024-03-29,"['k-pop', 'k-rap']",4.0,69
1aKvZDoLGkNMxoRYgkckZG,Magnetic,ILLIT,SUPER REAL ME,160688,2,279614,80,68,2024-03-25,['k-pop'],8.0,82
5cvwFPDokfdI6T7O0HgzuM,His Car Isn't Yours,WENDY,Wish You Hell - The 2nd Mini Album,184053,2,906981,65,62,2024-03-12,"['k-pop', 'korean pop']",21.0,61
6aPXjtda2SdTi8rAcFlrOS,Birth,ARTMS,<Pre 1 : Birth>,162373,1,47510,50,39,2024-03-29,['k-pop'],4.0,57
1riVuC1J7WRgJhG5WrtXI4,"PITAPA (Feat. pH-1, JUNNY)",Dynamicduo,2 Kids On The Block - Part.3,206173,5,209497,38,55,2024-03-28,"['k-rap', 'korean r&b']",5.0,38
4NZZdFybgGq1Xwx4wq2BdB,SUPERWOMAN,UNIS,The 1st Mini Album 'WE UNIS',188133,1,40438,56,44,2024-03-27,['k-pop'],6.0,55
7liPa1ogr6uKLBBfuKuCJh,The knight who can't die and the silk cradle,LUCY,The knight who can't die and the silk cradle,248613,1,222989,46,50,2024-03-20,['korean superband'],13.0,52
4LMJ8X3a5hNA508YBUJnie,Phobia,Seungmin,I'm the Queen in This Life (Original Soundtrack) Part.2,173480,1,161400,61,52,2024-03-15,['k-pop'],18.0,67
0ObH6HhEWiI2kXBJ4tusbQ,i don't know (with HUH YUNJIN of LE SSERAFIM),j-hope,HOPE ON THE STREET VOL.1,183149,4,17174554,74,72,2024-03-29,"['k-pop', 'k-rap']",4.0,65
67ZvVtW278IHsAxnzglQt4,We Don’t Stop,xikers,HOUSE OF TRICKY : Trial And Error,189441,2,346779,60,55,2024-03-08,['k-pop boy group'],25.0,57
2RrssjxGKweZ7aNWgdqpSR,White night,Kim Feel,White night (The Last 10 Years X Kim Feel),235508,1,110816,17,46,2024-03-29,['korean pop'],4.0,22
6AvIzestq6QF6T3nMoYHeF,SISI,SOI,SISI,133576,1,139,11,11,2024-03-29,['k-pop'],4.0,16
4BBsQYTDKXRLcoGrzD81zd,2024 Monthly Yoon March - mm (with Jo Yeonho),Yoon Jong Shin,2024 Monthly Yoon March - mm (with Jo Yeonho),266146,1,70044,10,40,2024-03-29,['korean pop'],4.0,15
71bh5oIAVtD3IbbhPsZklQ,Night of Walking,ALi,"Wonderful World (Original Television Soundtrack), Pt.4",227893,1,7444,7,28,2024-03-29,"['k-pop', 'korean worship']",4.0,11
2pPe9prGTisz5DlluN0y3K,Goodbye,SoYeon,Goodbye,228920,1,1975,7,18,2024-03-29,['k-pop'],4.0,11
1wfNuhQNBGkisaCknJPbfr,Sweet Venom (Seeb Remix),ENHYPEN,Sweet Venom (Seeb Remix),171829,1,8252594,45,78,2024-03-29,"['anime', 'k-pop boy group']",4.0,51
0guaStWjhEAoYmvOi9sRLF,Dive in Love,Taeha,Dive in Love,219416,1,1108,12,5,2024-03-29,['k-pop'],4.0,17
20zQ5Kf2lZA1awa8csGNdJ,Only One,VCHA,Only One,176030,1,286251,59,56,2024-03-15,['k-pop'],18.0,64
3X8L4DUPjLUE1cr8omydPT,I GOT YOU (Feat. Lauv),TWICE,I GOT YOU (Voyage ver.),184346,1,19828409,67,81,2024-02-06,"['k-pop', 'k-pop girl group', 'pop']",56.0,65
7cvtsCXaLRyBmDgrtDCfxa,harmless (Feat. CHANMINA),BOBBY,Sir.Robert,183866,4,885283,53,51,2024-02-28,['k-pop'],34.0,51
1hkeifGMiDQjXlvAsIoDaa,All Night (feat. Saweetie),IVE,All Night (feat. Saweetie),197763,1,3848533,65,74,2024-01-19,['k-pop girl group'],74.0,71
3mhrwbSKg78tx8Klzal2mC,My Love,Seo In Guk,My Love,183985,1,144949,32,44,2024-03-02,['korean pop'],31.0,38
4up9NcBZM7WhYik9jYtQU1,Back In Love,Kim MinSeok,Back In Love,195403,1,27849,37,40,2024-01-10,"['k-pop ballad', 'korean pop']",83.0,43
4D6ouoAWdowHMBWkRF1yZR,Trap Talk,Leellamarz,3=1,153402,1,172268,46,54,2024-02-21,"['k-rap', 'korean r&b']",41.0,45
2iSkLo11WjyzRVdxeSMkCf,HELIOT EMIL,CHANGMO,Wonderful Days,138106,2,321623,47,56,2024-01-30,"['k-rap', 'korean r&b']",63.0,47
2Qvr1LlQyKexI7eCUm1l6x,"PORN FLICK (Feat. YANGHONGWON, Street Baby) (Prod. Matt)",Swings,Upgrade V,213173,4,90374,44,43,2024-03-08,['k-rap'],25.0,40
7zrFf4bEHTlmQFbLtvkNsh,"Trading Places (Feat. DeVita, Jay Park)",DJ Wegun,roaming.,167124,3,14254,35,31,2024-03-10,['k-rap'],23.0,38
05QXjyZgsAq6J84J6SlbyV,XXL,YOUNG POSSE,XXL EP,152865,2,80069,56,49,2024-03-20,['k-pop'],13.0,59
7z45AkgscpK9Vh5WyfF3iP,Fake Happy,Seori,Fake Happy,170746,2,313417,50,58,2024-03-21,['korean r&b'],12.0,52
7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto),Jung Kook,Seven (feat. Latto),184400,2,13650607,81,86,2023-07-14,['k-pop'],263.0,85
