song_id,name,artist_name,album,duration_ms,track_number,artist_follower,album_popularity,artist_popularity,release_date,crawl_date,song_popularity,genres
2jaapqz7L9MpMf7vpkqU9I,Smoothie,NCT DREAM,DREAM( )SCAPE,188080,2,7604621,70,74,25/3/2024,1/4/2024,68,['k-pop boy group']
11sirgYaEutV40tkvgpHN6,NEURON (with Gaeko & YOON MIRAE),j-hope,HOPE ON THE STREET VOL.1,273290,6,17174554,74,72,29/3/2024,1/4/2024,73,"['k-pop', 'k-rap']"
4lR8sYGMGZPvthF2yUfo7T,Smart,LE SSERAFIM,EASY,166384,4,4785169,87,82,19/2/2024,1/4/2024,87,['k-pop girl group']
0PBTlQ84CBJF0tBnKGmQa6,FRI(END)S,V,FRI(END)S,148082,1,17572291,87,83,15/3/2024,1/4/2024,91,"['j-division', 'korean ost']"
55W3ONBbW98Cqvk0ZIoaKR,Emptiness,BoA,Emptiness,186866,1,816479,48,54,26/3/2024,1/4/2024,54,['k-pop']
0y0uzuB1HxljAY2j0tLETp,Fancy - Spotify Singles,STAYC,Fancy - Spotify Singles,193277,1,1781206,60,63,15/3/2024,1/4/2024,67,"['k-pop', 'k-pop girl group']"
60JZB9waHUPWJTGbYO6kDB,STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),MAX,STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),173336,1,891889,73,70,9/2/2024,1/4/2024,79,"['singer-songwriter pop', 'teen pop', 'viral pop']"
2vNPGH1x5ZwxTjlvzLCyc2,Fate,(G)I-DLE,2,161546,6,8777390,79,77,29/1/2024,1/4/2024,73,['k-pop girl group']
2O4Bb2WCkjlTPO827OnBMI,EASY,LE SSERAFIM,EASY,164545,2,4785169,87,82,19/2/2024,1/4/2024,88,['k-pop girl group']
6MEtGumgTXWquxH35osvEC,Nectar,THE BOYZ,THE BOYZ 2ND ALBUM [PHANTASY] Pt.3 Love Letter,184373,1,2844138,60,60,18/3/2024,1/4/2024,64,"['k-pop', 'k-pop boy group']"
6je5cTal6PyeITNrOzkCoS,Welcome to the Show,DAY6,Fourever,217067,1,3192322,67,66,18/3/2024,1/4/2024,65,"['k-pop', 'k-pop boy group']"
2t3F6nsQqEw60KT8ma8dm4,Rooftop,YooA,Borderline,168653,1,128098,56,48,14/3/2024,1/4/2024,61,['k-pop']
3ajU531gR5fW71wqsw4tFX,i wonder... (with Jung Kook of BTS),j-hope,HOPE ON THE STREET VOL.1,163598,2,17174554,74,72,29/3/2024,1/4/2024,69,"['k-pop', 'k-rap']"
1aKvZDoLGkNMxoRYgkckZG,Magnetic,ILLIT,SUPER REAL ME,160688,2,279614,80,68,25/3/2024,1/4/2024,82,['k-pop']
5cvwFPDokfdI6T7O0HgzuM,His Car Isn't Yours,WENDY,Wish You Hell - The 2nd Mini Album,184053,2,906981,65,62,12/3/2024,1/4/2024,61,"['k-pop', 'korean pop']"
6aPXjtda2SdTi8rAcFlrOS,Birth,ARTMS,<Pre 1 : Birth>,162373,1,47510,50,39,29/3/2024,1/4/2024,57,['k-pop']
1riVuC1J7WRgJhG5WrtXI4,"PITAPA (Feat. pH-1, JUNNY)",Dynamicduo,2 Kids On The Block - Part.3,206173,5,209497,38,55,28/3/2024,1/4/2024,38,"['k-rap', 'korean r&b']"
4NZZdFybgGq1Xwx4wq2BdB,SUPERWOMAN,UNIS,The 1st Mini Album 'WE UNIS',188133,1,40438,56,44,27/3/2024,1/4/2024,55,['k-pop']
2vNPGH1x5ZwxTjlvzLCyc2,Fate,(G)I-DLE,2,161546,6,8777390,79,77,29/1/2024,1/4/2024,73,['k-pop girl group']
7liPa1ogr6uKLBBfuKuCJh,The knight who can't die and the silk cradle,LUCY,The knight who can't die and the silk cradle,248613,1,222989,46,50,20/3/2024,1/4/2024,52,['korean superband']
4LMJ8X3a5hNA508YBUJnie,Phobia,Seungmin,I'm the Queen in This Life (Original Soundtrack) Part.2,173480,1,161400,61,52,15/3/2024,1/4/2024,67,['k-pop']
0ObH6HhEWiI2kXBJ4tusbQ,i don't know (with HUH YUNJIN of LE SSERAFIM),j-hope,HOPE ON THE STREET VOL.1,183149,4,17174554,74,72,29/3/2024,1/4/2024,65,"['k-pop', 'k-rap']"
67ZvVtW278IHsAxnzglQt4,We Don’t Stop,xikers,HOUSE OF TRICKY : Trial And Error,189441,2,346779,60,55,8/3/2024,1/4/2024,57,['k-pop boy group']
2t3F6nsQqEw60KT8ma8dm4,Rooftop,YooA,Borderline,168653,1,128098,56,48,14/3/2024,1/4/2024,61,['k-pop']
11sirgYaEutV40tkvgpHN6,NEURON (with Gaeko & YOON MIRAE),j-hope,HOPE ON THE STREET VOL.1,273290,6,17174554,74,72,29/3/2024,1/4/2024,73,"['k-pop', 'k-rap']"
