db.pubDate,db.artist,db.song_name,db.yturl,db.type,db.release,spotify.track.id,spotify.track.href,spotify.track.name,spotify.track.popularity,spotify.track.duration_ms,spotify.track.track_number,spotify.album.id,spotify.album.name,spotify.album.type,spotify.album.release_date,spotify.album.total_tracks,spotify.album.href,spotify.album.popularity,spotify.album.genres,spotify.artist.id,spotify.artist.name,spotify.artist.href,spotify.artist.popularity,spotify.artist.followers,spotify.artist.genres
2024-12-30,tripleS,Just Do It (NXT),https://youtu.be/s3IfM-u5hVc,Girl,Major,1M8UwTapD2TXA31ZmcQe24,https://api.spotify.com/v1/tracks/1M8UwTapD2TXA31ZmcQe24,Just Do It,48.0,153506.0,1.0,3XIAEl2VxDUIcQvTVss0vg,NXT <Just Do It>,single,2023-12-23,1.0,https://api.spotify.com/v1/albums/3XIAEl2VxDUIcQvTVss0vg,34.0,,5Z71xE9prhpHrqL5thVMyK,tripleS,https://api.spotify.com/v1/artists/5Z71xE9prhpHrqL5thVMyK,59.0,377254.0,k-pop girl group
2024-05-10,Stray Kids,Lose My Breath feat. Charlie Puth,https://youtu.be/SQ1yPMTIwCU,Boy,Minor,2DXavoWAmIHlrECHPM1Vca,https://api.spotify.com/v1/tracks/2DXavoWAmIHlrECHPM1Vca,Lose My Breath (Feat. Charlie Puth),81.0,166913.0,1.0,1HSW0KtusVmitWsZGhjaJB,Lose My Breath (Feat. Charlie Puth),single,2024-05-10,2.0,https://api.spotify.com/v1/albums/1HSW0KtusVmitWsZGhjaJB,68.0,,2dIgFjalVxs4ThymZ67YCE,Stray Kids,https://api.spotify.com/v1/artists/2dIgFjalVxs4ThymZ67YCE,80.0,15406501.0,"k-pop, k-pop boy group, pop"
2024-05-10,RM,Come back to me,https://youtu.be/NrfikKxF4Ps,Boy Solo,Major,1PT8hWQvl2gRO1JhDcSUqN,https://api.spotify.com/v1/tracks/1PT8hWQvl2gRO1JhDcSUqN,Come back to me,82.0,388960.0,1.0,7ENUU3mZBPsGVLmwoj1Sk5,Come back to me,single,2024-05-10,2.0,https://api.spotify.com/v1/albums/7ENUU3mZBPsGVLmwoj1Sk5,71.0,,2auC28zjQyVTsiZKNgPRGs,RM,https://api.spotify.com/v1/artists/2auC28zjQyVTsiZKNgPRGs,72.0,16496469.0,k-rap
2024-05-10,ARTMS,Pre4 : Air,https://youtu.be/ZSkzF0ucsLI,Girl,Minor,0E2NCsPqw2jMpBuui126Uo,https://api.spotify.com/v1/tracks/0E2NCsPqw2jMpBuui126Uo,Air,59.0,147360.0,1.0,6LuU1ePuYgNV6Rltq4OAcf,<Pre 4 : Air>,single,2024-05-10,1.0,https://api.spotify.com/v1/albums/6LuU1ePuYgNV6Rltq4OAcf,45.0,,213zHiFZwtDVEqyxeCbk07,ARTMS,https://api.spotify.com/v1/artists/213zHiFZwtDVEqyxeCbk07,50.0,81838.0,5th gen k-pop
2024-05-09,Seventeen,LALALI,https://youtu.be/F2qZWD0F7rM,Boy,Major,45xiC13XQsLhV57FxQLlLV,https://api.spotify.com/v1/tracks/45xiC13XQsLhV57FxQLlLV,LALALI,74.0,171680.0,2.0,2Jrp37x38qZqtyrIrfxN4H,SEVENTEEN BEST ALBUM '17 IS RIGHT HERE',album,2024-04-29,33.0,https://api.spotify.com/v1/albums/2Jrp37x38qZqtyrIrfxN4H,77.0,,7nqOGRxlXj7N2JYbgNEjYH,SEVENTEEN,https://api.spotify.com/v1/artists/7nqOGRxlXj7N2JYbgNEjYH,78.0,11416861.0,"k-pop, k-pop boy group"
2024-05-09,Loossemble,Girls' Night,https://youtu.be/yrG5NfrAr_g,Girl,Minor,0hnxybqZeJzU85jSwf5cdG,https://api.spotify.com/v1/tracks/0hnxybqZeJzU85jSwf5cdG,Girls’ Night,60.0,204813.0,2.0,2sN27KkVSnHvqi0MA2YxcZ,One Of A Kind,album,2024-04-15,8.0,https://api.spotify.com/v1/albums/2sN27KkVSnHvqi0MA2YxcZ,52.0,,1kbVoxpFh1eDOXumLmVdKY,Loossemble,https://api.spotify.com/v1/artists/1kbVoxpFh1eDOXumLmVdKY,48.0,126344.0,5th gen k-pop
2024-05-09,Yook Sungjae,Be Somebody,https://youtu.be/TsfAFHeNDXk,Boy Solo,Major,4UibiUi3DvzFYI8EZO1NqC,https://api.spotify.com/v1/tracks/4UibiUi3DvzFYI8EZO1NqC,BE SOMEBODY,50.0,182786.0,1.0,5eXvNWA29n8vSvflqfDxOB,EXHIBITION : Look Closely,single,2024-05-09,3.0,https://api.spotify.com/v1/albums/5eXvNWA29n8vSvflqfDxOB,40.0,,7mFGOWJEkdlJBCXcJ5EWi9,YOOK SUNGJAE,https://api.spotify.com/v1/artists/7mFGOWJEkdlJBCXcJ5EWi9,36.0,70823.0,"korean pop, korean r&b"
2024-05-08,tripleS,Girls Never Die,https://youtu.be/2tda_TCjz8w,Girl,Major,45OflED18VsURGw2z0Y6Cv,https://api.spotify.com/v1/tracks/45OflED18VsURGw2z0Y6Cv,Girls Never Die,69.0,187920.0,2.0,1FEdDqMaOL8oZYzI4n27GM,<ASSEMBLE24>,album,2024-05-08,10.0,https://api.spotify.com/v1/albums/1FEdDqMaOL8oZYzI4n27GM,62.0,,5Z71xE9prhpHrqL5thVMyK,tripleS,https://api.spotify.com/v1/artists/5Z71xE9prhpHrqL5thVMyK,59.0,377254.0,k-pop girl group
2024-05-07,&TEAM,Samidare,https://youtu.be/k1hAdf8F-gQ,Boy,Japanese,7tXjyOod2TlM9g447E8NUn,https://api.spotify.com/v1/tracks/7tXjyOod2TlM9g447E8NUn,五月雨 (Samidare),63.0,191253.0,1.0,2I0nlM24jBs20fWzSwUfLE,五月雨 (Samidare),single,2024-05-07,3.0,https://api.spotify.com/v1/albums/2I0nlM24jBs20fWzSwUfLE,54.0,,2xfxRiKxoHl5tI0MKyvqV7,&TEAM,https://api.spotify.com/v1/artists/2xfxRiKxoHl5tI0MKyvqV7,56.0,378180.0,5th gen k-pop
2024-05-07,BM,Nectar feat. Jay Park,https://youtu.be/94DBekCT9a4,Boy,Major,0Tq39nkuBrIdhGhUSRFISJ,https://api.spotify.com/v1/tracks/0Tq39nkuBrIdhGhUSRFISJ,Nectar (Feat. Jay Park),58.0,177600.0,2.0,6q2zOdLESHZyOpfSwA8Reb,BM 1st EP 'Element',single,2024-05-07,5.0,https://api.spotify.com/v1/albums/6q2zOdLESHZyOpfSwA8Reb,48.0,,5lZV4z4dpX6IfTYlfUMvOE,BM,https://api.spotify.com/v1/artists/5lZV4z4dpX6IfTYlfUMvOE,44.0,69217.0,
